Time	Cartesian Command X (in)	Cartesian Command Y (in)	Cartesian Command Z (in)	Cartesian Command Rx (rad)	Cartesian Command Ry (rad)	Cartesian Command Rz (rad)	Cartesian Command LBCB1 X (in)	Cartesian Command LBCB1 Y (in)	Cartesian Command LBCB1 Z (in)	Cartesian Command LBCB1 Rx (rad)	Cartesian Command LBCB1 Ry (rad)	Cartesian Command LBCB1 Rz (rad)	Cartesian Command LBCB2 X (in)	Cartesian Command LBCB2 Y (in)	Cartesian Command LBCB2 Z (in)	Cartesian Command LBCB2 Rx (rad)	Cartesian Command LBCB2 Ry (rad)	Cartesian Command LBCB2 Rz (rad)	Cartesian Displacement X (in)	Cartesian Displacement Y (in)	Cartesian Displacement Z (in)	Cartesian Rotation Rx (rad)	Cartesian Rotation Ry (rad)	Cartesian Rotation Rz (rad)	Cartesian Displacement LBCB1 X (in)	Cartesian Displacement LBCB1 Y (in)	Cartesian Displacement LBCB1 Z (in)	Cartesian Rotation LBCB1 Rx (rad)	Cartesian Rotation LBCB1 Ry (rad)	Cartesian Rotation LBCB1 Rz (rad)	Cartesian Displacement LBCB2 X (in)	Cartesian Displacement LBCB2 Y (in)	Cartesian Displacement LBCB2 Z (in)	Cartesian Rotation LBCB2 Rx (rad)	Cartesian Rotation LBCB2 Ry (rad)	Cartesian Rotation LBCB2 Rz (rad)	Cartesian Force X (lb)	Cartesian Force Y (lb)	Cartesian Force Z (lb)	Cartesian Moment Mx (lb*in)	Cartesian Moment My (lb*in)	Cartesian Moment Mz (lb*in)	Cartesian Force LBCB1 X (lb)	Cartesian Force LBCB1 Y (lb)	Cartesian Force LBCB1 Z (lb)	Cartesian Moment LBCB1 Mx (lb*in)	Cartesian Moment LBCB1 My (lb*in)	Cartesian Moment LBCB1 Mz (lb*in)	Cartesian Force LBCB2 X (lb)	Cartesian Force LBCB2 Y (lb)	Cartesian Force LBCB2 Z (lb)	Cartesian Moment LBCB2 Mx (lb*in)	Cartesian Moment LBCB2 My (lb*in)	Cartesian Moment LBCB2 Mz (lb*in)	Actuator Command LBCB1 X1 (in)	Actuator Command LBCB1 X2 (in)	Actuator Command LBCB1 Y1 (in)	Actuator Command LBCB1 Z1 (in)	Actuator Command LBCB1 Z2 (in)	Actuator Command LBCB1 Z3 (in)	Actuator Command LBCB2 X1 (in)	Actuator Command LBCB2 X2 (in)	Actuator Command LBCB2 Y1 (in)	Actuator Command LBCB2 Z1 (in)	Actuator Command LBCB2 Z2 (in)	Actuator Command LBCB2 Z3 (in)	Actuator Stroke LBCB1 X1 (in)	Actuator Stroke LBCB1 X2 (in)	Actuator Stroke LBCB1 Y1 (in)	Actuator Stroke LBCB1 Z1 (in)	Actuator Stroke LBCB1 Z2 (in)	Actuator Stroke LBCB1 Z3 (in)	Actuator Stroke LBCB2 X1 (in)	Actuator Stroke LBCB2 X2 (in)	Actuator Stroke LBCB2 Y1 (in)	Actuator Stroke LBCB2 Z1 (in)	Actuator Stroke LBCB2 Z2 (in)	Actuator Stroke LBCB2 Z3 (in)	Actuator Force LBCB1 X1 (lb)	Actuator Force LBCB1 X2 (lb)	Actuator Force LBCB1 Y1 (lb)	Actuator Force LBCB1 Z1 (lb)	Actuator Force LBCB1 Z2 (lb)	Actuator Force LBCB1 Z3 (lb)	Actuator Force LBCB2 X1 (lb)	Actuator Force LBCB2 X2 (lb)	Actuator Force LBCB2 Y1 (lb)	Actuator Force LBCB2 Z1 (lb)	Actuator Force LBCB2 Z2 (lb)	Actuator Force LBCB2 Z3 (lb)	
6/19/2007 10:16:43.81 AM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-5.797846E-4	-1.515129E-4	1.984221E-4	1.165280E-5	6.845842E-6	-1.452248E-5	-4.549466E-4	-3.935865E-4	2.169765E-4	4.527487E-5	1.955137E-5	-1.098803E-5	-7.046227E-4	9.056070E-5	1.798676E-4	-2.196927E-5	-5.859684E-6	-1.805692E-5	-1.628070E+0	-1.562346E-1	-2.319237E+0	1.078240E+1	-9.387743E+0	6.013780E+0	-1.190676E+0	2.661969E-1	-8.108592E-1	1.212333E+1	1.443305E+0	4.370459E+0	-4.373942E-1	-4.224315E-1	-1.508377E+0	-1.340930E+0	-1.083105E+1	1.643321E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.549056E-4	3.003698E-4	-2.509124E-4	-6.271709E-5	4.150003E-4	1.244174E-5	-6.084234E-4	-4.114595E-4	1.289497E-4	5.357791E-5	1.092791E-4	-8.379285E-5	2.440184E+1	5.246986E+1	4.149851E+1	5.835753E+1	7.026659E+1	-1.835644E+1	4.754801E+1	-3.432479E+1	-3.137341E-1	-2.295910E+1	-9.675888E+0	1.899801E+1
6/19/2007 10:16:44.32 AM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-5.814890E-4	-1.778199E-4	1.909349E-4	1.077707E-5	5.379314E-6	-9.683511E-6	-4.336483E-4	-4.167381E-4	1.987014E-4	4.285865E-5	1.700320E-5	4.442788E-7	-7.293298E-4	6.109826E-5	1.831684E-4	-2.130451E-5	-6.244573E-6	-1.981130E-5	-1.579720E+0	-1.949702E-1	-2.280053E+0	1.017879E+1	-8.529451E+0	6.279818E+0	-1.176700E+0	2.343554E-1	-8.045670E-1	1.168067E+1	1.830262E+0	4.165375E+0	-4.030202E-1	-4.293255E-1	-1.475486E+0	-1.501884E+0	-1.035971E+1	2.114443E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.807511E-4	2.295123E-4	-2.027594E-4	-4.760154E-5	3.890103E-4	9.647330E-6	-6.223706E-4	-4.433983E-4	1.169367E-4	5.180614E-5	1.151610E-4	-8.433550E-5	2.439659E+1	5.246026E+1	4.146422E+1	5.832919E+1	7.026184E+1	-1.830328E+1	4.751996E+1	-3.426071E+1	-3.210365E-1	-2.292393E+1	-9.680610E+0	1.899127E+1
6/19/2007 10:16:44.81 AM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-5.797960E-4	-1.369521E-4	2.046637E-4	1.146124E-5	6.839777E-6	-1.420619E-5	-4.627550E-4	-3.691952E-4	2.174881E-4	4.623119E-5	1.988063E-5	-1.143252E-5	-6.968370E-4	9.529093E-5	1.918392E-4	-2.330871E-5	-6.201079E-6	-1.697986E-5	-1.538451E+0	-1.978307E-1	-2.334917E+0	1.082875E+1	-8.504646E+0	6.171063E+0	-1.143173E+0	2.340192E-1	-8.789195E-1	1.229084E+1	1.720194E+0	4.361622E+0	-3.952778E-1	-4.318500E-1	-1.455997E+0	-1.462092E+0	-1.022484E+1	1.809441E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.614557E-4	3.080507E-4	-2.262595E-4	-6.651975E-5	4.196009E-4	7.861588E-6	-6.046170E-4	-3.938794E-4	1.212321E-4	6.097376E-5	1.143048E-4	-6.585421E-5	2.440183E+1	5.241966E+1	4.146475E+1	5.835108E+1	7.027556E+1	-1.840201E+1	4.755956E+1	-3.429225E+1	-3.236838E-1	-2.291484E+1	-9.681753E+0	1.900104E+1
6/19/2007 10:16:45.31 AM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-5.459654E-4	-1.600839E-4	1.940122E-4	1.177409E-5	7.177380E-6	-1.432397E-5	-4.194052E-4	-4.088245E-4	2.081164E-4	4.433023E-5	1.907350E-5	-9.916213E-6	-6.725256E-4	8.865666E-5	1.799080E-4	-2.078205E-5	-4.718738E-6	-1.873173E-5	-1.572568E+0	-1.887745E-1	-2.341858E+0	1.015467E+1	-8.582555E+0	6.397868E+0	-1.161391E+0	2.584858E-1	-8.779874E-1	1.164481E+1	1.955054E+0	4.482122E+0	-4.111778E-1	-4.472603E-1	-1.463870E+0	-1.490142E+0	-1.053761E+1	1.915746E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.224837E-4	2.610709E-4	-2.640883E-4	-6.531560E-5	4.023338E-4	8.843748E-6	-5.717322E-4	-3.844207E-4	1.397933E-4	6.867117E-5	1.168128E-4	-8.769847E-5	2.440532E+1	5.243599E+1	4.149062E+1	5.832537E+1	7.020345E+1	-1.831655E+1	4.755224E+1	-3.430190E+1	-3.395136E-1	-2.293764E+1	-9.664426E+0	1.900785E+1
6/19/2007 10:16:45.81 AM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-5.878138E-4	-1.286347E-4	2.028093E-4	1.024768E-5	5.916498E-6	-1.577424E-5	-4.793368E-4	-3.518509E-4	2.172149E-4	4.418731E-5	1.904955E-5	-1.293539E-5	-6.962907E-4	9.458136E-5	1.884038E-4	-2.369195E-5	-7.216554E-6	-1.861309E-5	-1.506075E+0	-1.869888E-1	-2.339329E+0	1.003962E+1	-9.321450E+0	6.664862E+0	-1.123658E+0	2.628766E-1	-8.349390E-1	1.183770E+1	1.316286E+0	4.503714E+0	-3.824166E-1	-4.498653E-1	-1.504390E+0	-1.798079E+0	-1.063774E+1	2.161149E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.682751E-4	3.347818E-4	-2.292570E-4	-5.590426E-5	4.107819E-4	1.866377E-5	-5.994223E-4	-4.024635E-4	1.274110E-4	4.423279E-5	1.075389E-4	-6.897806E-5	2.438373E+1	5.241708E+1	4.149474E+1	5.837755E+1	7.022302E+1	-1.833344E+1	4.754265E+1	-3.426208E+1	-3.421970E-1	-2.294226E+1	-9.709587E+0	1.900862E+1
6/19/2007 10:16:46.31 AM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-5.808619E-4	-1.532821E-4	2.041464E-4	1.223522E-5	7.077788E-6	-1.346404E-5	-4.822064E-4	-3.785464E-4	2.187468E-4	4.487700E-5	1.957961E-5	-8.149464E-6	-6.795174E-4	7.198217E-5	1.895460E-4	-2.040656E-5	-5.424035E-6	-1.877861E-5	-1.595176E+0	-1.810404E-1	-2.244635E+0	1.066445E+1	-9.102389E+0	6.671119E+0	-1.155944E+0	2.742357E-1	-7.968674E-1	1.197086E+1	9.426482E-1	4.495886E+0	-4.392321E-1	-4.552761E-1	-1.447767E+0	-1.306406E+0	-1.004504E+1	2.175233E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.935916E-4	3.144291E-4	-2.175148E-4	-6.131591E-5	4.148188E-4	1.607971E-5	-5.754625E-4	-3.896976E-4	1.270819E-4	6.901009E-5	1.271859E-4	-8.092788E-5	2.438995E+1	5.244457E+1	4.150620E+1	5.840102E+1	7.023444E+1	-1.834399E+1	4.751546E+1	-3.429469E+1	-3.480304E-1	-2.289445E+1	-9.642302E+0	1.896989E+1
6/19/2007 10:16:46.81 AM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-5.799844E-4	-1.171995E-4	1.890695E-4	1.043160E-5	5.954899E-6	-1.833547E-5	-4.729890E-4	-3.388740E-4	2.020424E-4	4.512056E-5	1.663720E-5	-1.907991E-5	-6.869798E-4	1.044750E-4	1.760967E-4	-2.425736E-5	-4.727399E-6	-1.759103E-5	-1.552488E+0	-1.865281E-1	-2.355842E+0	1.022959E+1	-9.253285E+0	6.909276E+0	-1.126415E+0	2.718722E-1	-7.990033E-1	1.210772E+1	1.329555E+0	4.621461E+0	-4.260725E-1	-4.584003E-1	-1.556839E+0	-1.878127E+0	-1.058284E+1	2.287815E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.341983E-4	3.537938E-4	-2.556882E-4	-3.947082E-5	4.037599E-4	2.682553E-6	-5.969914E-4	-3.890334E-4	1.284706E-4	6.457122E-5	9.622707E-5	-7.482854E-5	2.439181E+1	5.241246E+1	4.150476E+1	5.836944E+1	7.026413E+1	-1.833439E+1	4.751287E+1	-3.427820E+1	-3.511085E-1	-2.292687E+1	-9.737024E+0	1.898458E+1
6/19/2007 10:16:47.31 AM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-6.037731E-4	-1.062155E-4	1.971219E-4	1.346934E-5	5.708100E-6	-1.474485E-5	-4.879446E-4	-3.128101E-4	2.007479E-4	4.614819E-5	1.761283E-5	-1.444410E-5	-7.196016E-4	1.003791E-4	1.934958E-4	-1.920950E-5	-6.196629E-6	-1.504560E-5	-1.567900E+0	-2.397747E-1	-2.448581E+0	1.026005E+1	-8.311263E+0	6.790540E+0	-1.089771E+0	2.169879E-1	-9.448941E-1	1.181580E+1	2.111668E+0	4.394378E+0	-4.781287E-1	-4.567626E-1	-1.503686E+0	-1.555749E+0	-1.042293E+1	2.396162E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.692986E-4	3.435612E-4	-1.941030E-4	-5.354705E-5	4.059141E-4	-5.028471E-6	-6.285700E-4	-4.122330E-4	1.338328E-4	6.289885E-5	1.356060E-4	-8.393932E-5	2.439112E+1	5.237397E+1	4.144663E+1	5.833248E+1	7.021776E+1	-1.836881E+1	4.747210E+1	-3.429226E+1	-3.495264E-1	-2.291721E+1	-9.670518E+0	1.897783E+1
6/19/2007 10:16:47.81 AM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-5.727042E-4	-1.424243E-4	2.005021E-4	1.170494E-5	7.419980E-6	-1.202175E-5	-4.665757E-4	-3.901947E-4	2.109226E-4	4.474488E-5	1.962260E-5	-9.934936E-6	-6.788327E-4	1.053462E-4	1.900816E-4	-2.133500E-5	-4.782643E-6	-1.410855E-5	-1.649298E+0	-1.220610E-1	-2.268972E+0	1.060101E+1	-8.633831E+0	6.966697E+0	-1.223839E+0	3.280958E-1	-8.029334E-1	1.209081E+1	1.443330E+0	4.711127E+0	-4.254586E-1	-4.501568E-1	-1.466039E+0	-1.489802E+0	-1.007716E+1	2.255570E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.678981E-4	3.053917E-4	-2.444930E-4	-6.970396E-5	4.062944E-4	8.823697E-6	-5.966029E-4	-3.654576E-4	1.224344E-4	7.790189E-5	1.241571E-4	-7.491689E-5	2.440612E+1	5.250031E+1	4.156255E+1	5.834530E+1	7.022935E+1	-1.832711E+1	4.750980E+1	-3.427447E+1	-3.427817E-1	-2.289644E+1	-9.671342E+0	1.897682E+1
6/19/2007 10:16:48.31 AM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-5.721561E-4	-8.268865E-5	1.862063E-4	1.072734E-5	7.192409E-6	-1.262841E-5	-4.390939E-4	-3.087648E-4	1.981903E-4	4.393057E-5	1.761766E-5	-1.276173E-5	-7.052184E-4	1.433875E-4	1.742223E-4	-2.247588E-5	-3.232844E-6	-1.249509E-5	-1.609085E+0	-2.508941E-1	-2.497446E+0	9.635624E+0	-8.337062E+0	6.385195E+0	-1.157308E+0	2.068128E-1	-9.336783E-1	1.170822E+1	1.936819E+0	4.059399E+0	-4.517771E-1	-4.577069E-1	-1.563768E+0	-2.072597E+0	-1.027388E+1	2.325797E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	4.264349E-4	2.921434E-4	-1.900436E-4	-5.616750E-5	3.927050E-4	3.051613E-6	-6.338670E-4	-3.846084E-4	1.412801E-4	8.242548E-5	1.050438E-4	-8.303492E-5	2.439862E+1	5.243833E+1	4.143585E+1	5.834186E+1	7.021226E+1	-1.838146E+1	4.749465E+1	-3.428697E+1	-3.505599E-1	-2.289807E+1	-9.770280E+0	1.899013E+1
