Time	Cartesian Command X (in)	Cartesian Command Y (in)	Cartesian Command Z (in)	Cartesian Command Rx (rad)	Cartesian Command Ry (rad)	Cartesian Command Rz (rad)	Cartesian Command LBCB1 X (in)	Cartesian Command LBCB1 Y (in)	Cartesian Command LBCB1 Z (in)	Cartesian Command LBCB1 Rx (rad)	Cartesian Command LBCB1 Ry (rad)	Cartesian Command LBCB1 Rz (rad)	Cartesian Command LBCB2 X (in)	Cartesian Command LBCB2 Y (in)	Cartesian Command LBCB2 Z (in)	Cartesian Command LBCB2 Rx (rad)	Cartesian Command LBCB2 Ry (rad)	Cartesian Command LBCB2 Rz (rad)	Cartesian Displacement X (in)	Cartesian Displacement Y (in)	Cartesian Displacement Z (in)	Cartesian Rotation Rx (rad)	Cartesian Rotation Ry (rad)	Cartesian Rotation Rz (rad)	Cartesian Displacement LBCB1 X (in)	Cartesian Displacement LBCB1 Y (in)	Cartesian Displacement LBCB1 Z (in)	Cartesian Rotation LBCB1 Rx (rad)	Cartesian Rotation LBCB1 Ry (rad)	Cartesian Rotation LBCB1 Rz (rad)	Cartesian Displacement LBCB2 X (in)	Cartesian Displacement LBCB2 Y (in)	Cartesian Displacement LBCB2 Z (in)	Cartesian Rotation LBCB2 Rx (rad)	Cartesian Rotation LBCB2 Ry (rad)	Cartesian Rotation LBCB2 Rz (rad)	Cartesian Force X (lb)	Cartesian Force Y (lb)	Cartesian Force Z (lb)	Cartesian Moment Mx (lb*in)	Cartesian Moment My (lb*in)	Cartesian Moment Mz (lb*in)	Cartesian Force LBCB1 X (lb)	Cartesian Force LBCB1 Y (lb)	Cartesian Force LBCB1 Z (lb)	Cartesian Moment LBCB1 Mx (lb*in)	Cartesian Moment LBCB1 My (lb*in)	Cartesian Moment LBCB1 Mz (lb*in)	Cartesian Force LBCB2 X (lb)	Cartesian Force LBCB2 Y (lb)	Cartesian Force LBCB2 Z (lb)	Cartesian Moment LBCB2 Mx (lb*in)	Cartesian Moment LBCB2 My (lb*in)	Cartesian Moment LBCB2 Mz (lb*in)	Actuator Command LBCB1 X1 (in)	Actuator Command LBCB1 X2 (in)	Actuator Command LBCB1 Y1 (in)	Actuator Command LBCB1 Z1 (in)	Actuator Command LBCB1 Z2 (in)	Actuator Command LBCB1 Z3 (in)	Actuator Command LBCB2 X1 (in)	Actuator Command LBCB2 X2 (in)	Actuator Command LBCB2 Y1 (in)	Actuator Command LBCB2 Z1 (in)	Actuator Command LBCB2 Z2 (in)	Actuator Command LBCB2 Z3 (in)	Actuator Stroke LBCB1 X1 (in)	Actuator Stroke LBCB1 X2 (in)	Actuator Stroke LBCB1 Y1 (in)	Actuator Stroke LBCB1 Z1 (in)	Actuator Stroke LBCB1 Z2 (in)	Actuator Stroke LBCB1 Z3 (in)	Actuator Stroke LBCB2 X1 (in)	Actuator Stroke LBCB2 X2 (in)	Actuator Stroke LBCB2 Y1 (in)	Actuator Stroke LBCB2 Z1 (in)	Actuator Stroke LBCB2 Z2 (in)	Actuator Stroke LBCB2 Z3 (in)	Actuator Force LBCB1 X1 (lb)	Actuator Force LBCB1 X2 (lb)	Actuator Force LBCB1 Y1 (lb)	Actuator Force LBCB1 Z1 (lb)	Actuator Force LBCB1 Z2 (lb)	Actuator Force LBCB1 Z3 (lb)	Actuator Force LBCB2 X1 (lb)	Actuator Force LBCB2 X2 (lb)	Actuator Force LBCB2 Y1 (lb)	Actuator Force LBCB2 Z1 (lb)	Actuator Force LBCB2 Z2 (lb)	Actuator Force LBCB2 Z3 (lb)	
6/14/2007 2:50:09.82 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.114770E-3	-4.995956E-3	-7.686275E-4	1.072272E-4	-7.318145E-4	-1.305628E-4	3.688409E-3	-5.202538E-3	-1.571055E-3	1.714308E-4	-4.488294E-3	-1.128887E-4	-7.917949E-3	-4.789375E-3	3.380037E-5	4.302359E-5	3.024665E-3	-1.482369E-4	-5.975442E+1	3.941803E+1	1.406357E+2	5.650550E+2	-1.235964E+3	-2.084512E+2	-7.237397E+1	3.992238E+1	1.461035E+2	5.823706E+2	-1.022732E+3	1.625911E+2	1.261954E+1	-5.043551E-1	-5.467757E+0	-1.731564E+1	-2.132313E+2	-3.710423E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.158261E-3	2.654026E-3	3.587283E-3	5.728122E-2	6.132916E-3	4.480657E-3	-3.205466E-3	-4.686795E-3	2.960974E-3	3.975457E-2	4.747304E-3	4.339590E-3	2.378677E+1	5.291358E+1	4.155188E+1	5.684794E+1	6.997022E+1	-1.657866E+1	4.776196E+1	-3.453695E+1	-3.990216E-1	-1.839784E+1	-9.699721E+0	1.863841E+1
6/14/2007 2:50:10.35 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.136802E-3	-4.959416E-3	-7.627871E-4	1.068711E-4	-7.272590E-4	-1.361980E-4	3.664963E-3	-5.083805E-3	-1.556383E-3	1.718395E-4	-4.481523E-3	-1.192706E-4	-7.938568E-3	-4.835028E-3	3.080912E-5	4.190269E-5	3.027005E-3	-1.531254E-4	-5.969953E+1	3.949773E+1	1.407196E+2	5.659518E+2	-1.236523E+3	-2.076775E+2	-7.238526E+1	4.000011E+1	1.461727E+2	5.832112E+2	-1.023075E+3	1.632364E+2	1.268573E+1	-5.023863E-1	-5.453157E+0	-1.725935E+1	-2.134484E+2	-3.709139E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.146792E-3	2.699236E-3	3.648569E-3	5.720698E-2	6.139213E-3	4.482674E-3	-3.202525E-3	-4.725070E-3	2.951176E-3	3.978236E-2	4.742368E-3	4.345574E-3	2.380059E+1	5.291147E+1	4.163163E+1	5.685723E+1	7.003016E+1	-1.660336E+1	4.778104E+1	-3.448641E+1	-3.968379E-1	-1.842304E+1	-9.681157E+0	1.863756E+1
6/14/2007 2:50:10.82 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.097182E-3	-5.012294E-3	-7.767079E-4	1.070450E-4	-7.274914E-4	-1.329357E-4	3.714435E-3	-5.182376E-3	-1.573818E-3	1.720367E-4	-4.485827E-3	-1.129337E-4	-7.908800E-3	-4.842213E-3	2.040178E-5	4.205321E-5	3.030844E-3	-1.529376E-4	-5.963688E+1	3.944963E+1	1.406340E+2	5.656802E+2	-1.236145E+3	-2.079071E+2	-7.235030E+1	3.995159E+1	1.460895E+2	5.828970E+2	-1.022474E+3	1.630559E+2	1.271342E+1	-5.019627E-1	-5.455469E+0	-1.721688E+1	-2.136705E+2	-3.709630E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.129790E-3	2.624099E-3	3.603796E-3	5.724611E-2	6.129293E-3	4.471215E-3	-3.173379E-3	-4.694665E-3	2.948264E-3	3.982232E-2	4.738475E-3	4.340238E-3	2.380182E+1	5.287379E+1	4.158183E+1	5.682572E+1	7.000433E+1	-1.660446E+1	4.780072E+1	-3.447699E+1	-3.963086E-1	-1.844379E+1	-9.673929E+0	1.863960E+1
6/14/2007 2:50:11.32 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.155150E-3	-4.933291E-3	-7.639382E-4	1.074658E-4	-7.297089E-4	-1.407332E-4	3.621952E-3	-5.052835E-3	-1.568246E-3	1.716106E-4	-4.488686E-3	-1.311979E-4	-7.932252E-3	-4.813746E-3	4.036947E-5	4.332112E-5	3.029268E-3	-1.502686E-4	-5.972929E+1	3.947981E+1	1.406985E+2	5.654926E+2	-1.235893E+3	-2.080271E+2	-7.239366E+1	3.997472E+1	1.461401E+2	5.826921E+2	-1.022627E+3	1.630501E+2	1.266436E+1	-4.949115E-1	-5.441550E+0	-1.719949E+1	-2.132652E+2	-3.710772E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.139911E-3	2.801312E-3	3.603473E-3	5.728907E-2	6.137563E-3	4.482527E-3	-3.201706E-3	-4.702433E-3	2.965097E-3	3.982167E-2	4.762180E-3	4.351672E-3	2.380647E+1	5.291480E+1	4.160658E+1	5.682420E+1	6.999135E+1	-1.656087E+1	4.778164E+1	-3.450932E+1	-3.891746E-1	-1.840861E+1	-9.681840E+0	1.864026E+1
6/14/2007 2:50:11.82 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.101450E-3	-5.007072E-3	-7.688324E-4	1.069818E-4	-7.318440E-4	-1.340740E-4	3.708109E-3	-5.176009E-3	-1.566936E-3	1.719483E-4	-4.487539E-3	-1.146107E-4	-7.911009E-3	-4.838134E-3	2.927154E-5	4.201523E-5	3.023851E-3	-1.535372E-4	-5.961169E+1	3.947412E+1	1.407400E+2	5.661881E+2	-1.236276E+3	-2.071063E+2	-7.232678E+1	3.999917E+1	1.461368E+2	5.832082E+2	-1.022837E+3	1.636167E+2	1.271509E+1	-5.250570E-1	-5.396880E+0	-1.702005E+1	-2.134398E+2	-3.707230E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.132793E-3	2.642592E-3	3.602832E-3	5.727545E-2	6.138425E-3	4.481098E-3	-3.178604E-3	-4.705237E-3	2.944405E-3	3.973935E-2	4.736659E-3	4.338783E-3	2.381259E+1	5.283849E+1	4.163143E+1	5.684552E+1	7.001396E+1	-1.659227E+1	4.779405E+1	-3.446903E+1	-4.202847E-1	-1.842808E+1	-9.614030E+0	1.862845E+1
6/14/2007 2:50:12.32 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.132735E-3	-5.019682E-3	-7.688744E-4	1.081402E-4	-7.266592E-4	-1.312231E-4	3.666366E-3	-5.209965E-3	-1.558123E-3	1.750185E-4	-4.484708E-3	-1.109053E-4	-7.931837E-3	-4.829399E-3	2.037400E-5	4.126197E-5	3.031389E-3	-1.515409E-4	-5.971030E+1	3.949390E+1	1.406822E+2	5.659272E+2	-1.235168E+3	-2.077212E+2	-7.239473E+1	4.000010E+1	1.460400E+2	5.828323E+2	-1.022268E+3	1.633505E+2	1.268443E+1	-5.061920E-1	-5.357808E+0	-1.690507E+1	-2.129002E+2	-3.710717E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.192494E-3	2.659195E-3	3.608669E-3	5.724705E-2	6.157448E-3	4.470870E-3	-3.202166E-3	-4.708377E-3	2.947989E-3	3.982943E-2	4.735453E-3	4.344795E-3	2.381717E+1	5.290447E+1	4.163220E+1	5.680421E+1	6.994493E+1	-1.660141E+1	4.780070E+1	-3.450753E+1	-4.009093E-1	-1.838758E+1	-9.618154E+0	1.863591E+1
6/14/2007 2:50:12.82 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.118272E-3	-4.964230E-3	-7.728641E-4	1.044218E-4	-7.349451E-4	-1.353058E-4	3.676402E-3	-5.125183E-3	-1.587539E-3	1.687992E-4	-4.492815E-3	-1.194535E-4	-7.912947E-3	-4.803277E-3	4.181076E-5	4.004442E-5	3.022925E-3	-1.511582E-4	-5.974922E+1	3.950292E+1	1.406989E+2	5.657415E+2	-1.236662E+3	-2.072931E+2	-7.241236E+1	4.002473E+1	1.461597E+2	5.830973E+2	-1.023052E+3	1.633659E+2	1.266314E+1	-5.218149E-1	-5.460745E+0	-1.735583E+1	-2.136108E+2	-3.706590E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.137197E-3	2.700662E-3	3.606329E-3	5.732403E-2	6.110913E-3	4.483533E-3	-3.191471E-3	-4.690565E-3	2.952169E-3	3.973962E-2	4.738350E-3	4.359363E-3	2.380978E+1	5.293183E+1	4.165807E+1	5.684911E+1	6.999528E+1	-1.659086E+1	4.775714E+1	-3.448670E+1	-4.169528E-1	-1.843146E+1	-9.669967E+0	1.863996E+1
6/14/2007 2:50:13.32 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.103661E-3	-4.967712E-3	-7.678716E-4	1.070589E-4	-7.259101E-4	-1.335774E-4	3.717415E-3	-5.126038E-3	-1.550917E-3	1.715492E-4	-4.481848E-3	-1.192128E-4	-7.924738E-3	-4.809385E-3	1.517364E-5	4.256861E-5	3.030028E-3	-1.479420E-4	-5.973217E+1	3.947547E+1	1.406663E+2	5.659808E+2	-1.234741E+3	-2.077219E+2	-7.241974E+1	3.999255E+1	1.460273E+2	5.831213E+2	-1.021851E+3	1.631425E+2	1.268758E+1	-5.170803E-1	-5.361075E+0	-1.714047E+1	-2.128893E+2	-3.708644E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.099196E-3	2.652008E-3	3.609081E-3	5.721682E-2	6.143888E-3	4.490133E-3	-3.213142E-3	-4.690451E-3	2.943476E-3	3.980630E-2	4.734536E-3	4.331218E-3	2.381531E+1	5.293370E+1	4.162440E+1	5.676846E+1	6.999270E+1	-1.663261E+1	4.778856E+1	-3.449230E+1	-4.122304E-1	-1.838487E+1	-9.634458E+0	1.864817E+1
6/14/2007 2:50:13.82 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.114416E-3	-4.980044E-3	-7.739570E-4	1.063672E-4	-7.296487E-4	-1.323351E-4	3.700764E-3	-5.165590E-3	-1.573377E-3	1.710899E-4	-4.490917E-3	-1.183415E-4	-7.929596E-3	-4.794498E-3	2.546283E-5	4.164449E-5	3.031620E-3	-1.463287E-4	-5.974457E+1	3.950536E+1	1.406119E+2	5.657799E+2	-1.235443E+3	-2.076634E+2	-7.239457E+1	4.001687E+1	1.460659E+2	5.831114E+2	-1.022251E+3	1.634378E+2	1.265000E+1	-5.115067E-1	-5.453960E+0	-1.733147E+1	-2.131914E+2	-3.711012E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.124453E-3	2.670758E-3	3.587006E-3	5.731334E-2	6.133166E-3	4.483860E-3	-3.221356E-3	-4.681220E-3	2.947439E-3	3.983744E-2	4.742781E-3	4.348315E-3	2.381478E+1	5.290808E+1	4.165023E+1	5.679523E+1	6.998039E+1	-1.660776E+1	4.779031E+1	-3.453344E+1	-4.064258E-1	-1.839718E+1	-9.698996E+0	1.864282E+1
6/14/2007 2:50:14.32 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-2.115460E-3	-5.017295E-3	-7.793766E-4	1.066194E-4	-7.321707E-4	-1.250374E-4	3.709104E-3	-5.234984E-3	-1.582299E-3	1.712053E-4	-4.491293E-3	-1.049043E-4	-7.940024E-3	-4.799606E-3	2.354613E-5	4.203352E-5	3.026952E-3	-1.451705E-4	-5.970303E+1	3.946240E+1	1.407728E+2	5.656792E+2	-1.235925E+3	-2.074737E+2	-7.240475E+1	3.998248E+1	1.461531E+2	5.827754E+2	-1.022610E+3	1.631730E+2	1.270171E+1	-5.200752E-1	-5.380289E+0	-1.709614E+1	-2.133153E+2	-3.706468E+2	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	2.175353E-3	2.599335E-3	3.614747E-3	5.730934E-2	6.125023E-3	4.475385E-3	-3.242257E-3	-4.692738E-3	2.926184E-3	3.977416E-2	4.735733E-3	4.337497E-3	2.381739E+1	5.291574E+1	4.161366E+1	5.681937E+1	7.000008E+1	-1.655781E+1	4.777457E+1	-3.446362E+1	-4.152432E-1	-1.841943E+1	-9.615633E+0	1.864095E+1
