Time	Cartesian Command X (in)	Cartesian Command Y (in)	Cartesian Command Z (in)	Cartesian Command Rx (rad)	Cartesian Command Ry (rad)	Cartesian Command Rz (rad)	Cartesian Displacement X (in)	Cartesian Displacement Y (in)	Cartesian Displacement Z (in)	Cartesian Rotation Rx (rad)	Cartesian Rotation Ry (rad)	Cartesian Rotation Rz (rad)	Cartesian Force X (lb)	Cartesian Force Y (lb)	Cartesian Force Z (lb)	Cartesian Moment Mx (lb*in)	Cartesian Moment My (lb*in)	Cartesian Moment Mz (lb*in)	Actuator Command X1 (in)	Actuator Command X2 (in)	Actuator Command Y1 (in)	Actuator Command Z1 (in)	Actuator Command Z2 (in)	Actuator Command Z3 (in)	Actuator Stroke X1 (in)	Actuator Stroke X2 (in)	Actuator Stroke Y1 (in)	Actuator Stroke Z1 (in)	Actuator Stroke Z2 (in)	Actuator Stroke Z3 (in)	Actuator Force X1 (lb)	Actuator Force X2 (lb)	Actuator Force Y1 (lb)	Actuator Force Z1 (lb)	Actuator Force Z2 (lb)	Actuator Force Z3 (lb)	Servo Error X1 (V)	Servo Error X2 (V)	Servo Error Y1 (V)	Servo Error Z1 (V)	Servo Error Z2 (V)	Servo Error Z3 (V)	
3/20/2006 5:19:31.85 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	3.054159E-4	-3.760073E-4	2.677566E-4	-6.973131E-6	2.047595E-5	4.378976E-5	1.262094E+0	9.654468E-2	-8.149046E-1	3.496939E+0	1.171621E+1	-3.060832E-1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	8.468977E-7	-3.772827E-4	-3.283874E-4	1.530401E-4	3.566806E-4	4.236227E-4	-6.971879E-1	-6.321020E-1	9.991100E-2	-1.329428E+0	7.765755E-1	1.295372E-1	1.151266E-1	-3.583578E-2	-9.689897E-2	1.526166E-2	-1.165572E-1	8.399049E-2
3/20/2006 5:19:57.68 PM	1.852556E+0	-1.163220E-1	-1.559466E-1	-8.242908E-20	-2.352214E-36	-4.837147E-19	1.852639E+0	-1.163709E-1	-1.558606E-1	-7.738148E-5	1.112933E-5	-1.498600E-4	1.890827E+1	-1.069016E+0	-1.810809E+0	-2.282016E+0	-8.036848E+1	-1.724259E+1	-1.800000E+0	-1.800000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-1.800834E+0	-1.799227E+0	-2.976781E-4	4.346564E-5	-9.413218E-5	3.987609E-4	-1.156973E+1	-7.861187E+0	-1.245905E+0	8.494953E+0	-5.943939E-1	-2.613287E+0	1.117540E-1	-4.142040E-2	-9.659216E-2	1.546571E-2	-1.163266E-1	8.671846E-2
3/20/2006 5:20:15.38 PM	1.397829E+0	-6.591081E-2	-8.836306E-2	0.000000E+0	0.000000E+0	0.000000E+0	1.397855E+0	-6.620074E-2	-8.840684E-2	-1.088494E-5	-1.665820E-5	-6.697763E-5	1.202715E+1	-2.920167E-1	-1.322204E+0	4.022312E+0	-3.488823E+1	-1.146774E+1	-1.350000E+0	-1.350000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-1.350368E+0	-1.349727E+0	-2.973445E-4	6.245834E-5	-1.449536E-4	-1.220937E-4	-7.392967E+0	-5.036796E+0	-3.503850E-1	3.747850E+0	6.202869E-1	-1.362519E+0	1.176655E-1	-3.930713E-2	-9.647290E-2	1.569637E-2	-1.184188E-1	8.700618E-2
3/20/2006 5:20:30.79 PM	9.373788E-1	-2.953866E-2	-3.960089E-2	0.000000E+0	0.000000E+0	0.000000E+0	9.369328E-1	-2.974532E-2	-3.960811E-2	-8.793007E-6	-1.738945E-5	-7.910333E-6	8.880733E+0	3.744775E-2	-1.125968E+0	4.141379E+0	-1.898667E+1	-6.314090E+0	-9.000000E-1	-9.000000E-1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-8.996440E-1	-8.995444E-1	-2.721933E-4	5.717842E-5	-1.825785E-4	-1.048631E-4	-5.267570E+0	-3.970784E+0	2.332513E-2	2.002478E+0	6.008043E-1	-6.645200E-1	1.165183E-1	-3.872258E-2	-9.717253E-2	1.494101E-2	-1.170812E-1	8.614447E-2
3/20/2006 5:20:51.07 PM	-9.575945E-1	-3.083022E-2	-4.133241E-2	3.488372E-38	-4.104008E-22	-1.255860E-38	-9.585347E-1	-3.087981E-2	-4.142030E-2	-4.297045E-5	-1.143869E-5	1.160712E-4	-5.847584E+0	-4.404880E-1	-1.918437E+0	-4.493091E-1	4.581759E+1	8.669387E+0	9.000000E-1	9.000000E-1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	9.013333E-1	9.003887E-1	-1.838425E-4	5.312989E-5	-2.325168E-4	8.247184E-5	4.202438E+0	2.288455E+0	-4.541114E-1	-5.423186E+0	7.567741E-1	9.478755E-1	1.184148E-1	-3.709646E-2	-9.809549E-2	1.377796E-2	-1.185092E-1	8.198479E-2
3/20/2006 5:21:06.35 PM	-1.443087E+0	-7.027689E-2	-9.421643E-2	3.326198E-20	-8.666063E-19	-2.602529E-19	-1.443625E+0	-7.032534E-2	-9.434240E-2	-5.540893E-5	-5.743937E-6	1.827882E-4	-9.743515E+0	-8.536627E-1	-2.776781E+0	-3.429047E+0	6.273000E+1	1.113050E+1	1.350000E+0	1.350000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.351238E+0	1.349704E+0	-2.226162E-4	-3.051851E-5	-2.327746E-4	6.694678E-5	6.786741E+0	4.255291E+0	-8.754714E-1	-7.609421E+0	6.785817E-1	1.217033E+0	1.191961E-1	-3.566513E-2	-9.870367E-2	1.446622E-2	-1.176295E-1	8.028740E-2
3/20/2006 5:21:22.77 PM	-1.932439E+0	-1.266946E-1	-1.698526E-1	-8.216794E-35	-1.547461E-18	-1.727591E-34	-1.933269E+0	-1.268008E-1	-1.699168E-1	-7.078250E-5	-2.538730E-5	1.514070E-4	-1.324458E+1	-1.513553E+0	-3.454265E+0	-6.426166E+0	7.470621E+1	1.173595E+1	1.800000E+0	1.800000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.801357E+0	1.800140E+0	-2.646529E-4	2.023448E-4	-2.752566E-4	1.413285E-4	9.057635E+0	6.287430E+0	-1.546940E+0	-9.203152E+0	6.805007E-1	1.203560E+0	1.199687E-1	-3.561221E-2	-9.819501E-2	1.430796E-2	-1.191360E-1	7.953305E-2
3/20/2006 5:21:53.08 PM	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	1.608096E-4	-2.964721E-4	-1.447652E-6	-1.303606E-5	-1.272303E-5	-1.079148E-4	4.202145E+0	-2.064672E-1	-2.211127E-1	2.588347E+0	-1.198602E+1	1.867536E-1	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	0.000000E+0	-6.755447E-4	3.473618E-4	-3.407357E-4	6.988273E-5	-1.400467E-4	-1.493199E-5	-2.195026E+0	-2.230717E+0	-2.137860E-1	1.334907E+0	3.171456E-1	-4.292261E-1	1.089812E-1	-4.688814E-2	-9.645775E-2	1.532776E-2	-1.169724E-1	8.269118E-2
3/20/2006 5:22:19.00 PM	1.439695E-2	-8.212647E-1	-3.036427E-2	-1.767702E-22	7.334636E-23	1.373207E-22	1.456089E-2	-8.204332E-1	-3.026747E-2	-2.539829E-5	-5.192368E-6	-1.209378E-4	3.599715E+0	-9.228674E+0	7.488377E-1	-4.551682E+1	-2.899135E+0	-2.450240E+1	0.000000E+0	0.000000E+0	-8.000000E-1	0.000000E+0	0.000000E+0	0.000000E+0	-7.246164E-4	4.525835E-4	-7.992868E-1	1.197279E-4	-1.643551E-4	7.727285E-5	-4.827963E+0	1.024946E+0	-9.468775E+0	2.283893E+0	2.207458E+0	4.131344E-2	1.093266E-1	-4.710420E-2	-9.572992E-2	1.489724E-2	-1.173209E-1	7.992857E-2
3/20/2006 5:22:34.57 PM	8.125267E-3	-6.171989E-1	-1.713681E-2	0.000000E+0	0.000000E+0	0.000000E+0	8.371105E-3	-6.173978E-1	-1.714628E-2	-3.153604E-5	-4.565868E-7	-1.194323E-4	3.250517E+0	-5.954730E+0	6.028174E-1	-2.575693E+1	-1.323281E+1	-1.446380E+1	0.000000E+0	0.000000E+0	-6.000000E-1	0.000000E+0	0.000000E+0	0.000000E+0	-7.885031E-4	3.941283E-4	-6.003376E-1	4.644578E-5	-1.863296E-4	1.150831E-4	-3.392251E+0	-3.579666E-2	-6.141957E+0	2.594006E+0	1.381203E+0	-6.415825E-1	1.089435E-1	-4.713471E-2	-8.944946E-2	1.511666E-2	-1.172552E-1	8.047460E-2
